 Fatura 
Conta ;????????
Cartão ;??????.XXXX.XXXX.8889
Periodo ;03/580
Vencimento ;15/12/2020
Saldo ;1.655,58

Data da Transacao;Estabelecimento;Tipo da Transacao;Valor
27/11/2019;Dell Computadores   ;Parcela 11/12;+29,50
27/11/2019;Dell Computadores   ;Parcela 11/12;+11,25
04/11/2020;Ultrafarma Saude    ;Compra à vista;+35,05
20/09/2020;Parcela Shopping Int;Parcela 3/10;+37,74
06/11/2020;Sm Assessoria A Empr;Compra à vista;+35,00
09/06/2020;Mercpago*fabricajma ;Parcela 6/12;+150,00
10/11/2020;Poli Pet            ;Parcela 1/2;+50,41
11/11/2020;Hot Park Rio Quente ;Compra à vista;+194,00
15/10/2020;Fred Distribuidora D;Parcela 2/3;+500,00
15/10/2020;Cvc Brasil Fl 6430  ;Parcela 2/10;+58,13
15/10/2020;Correal Comercio De ;Parcela 2/2;+49,92
16/11/2020;Pagamento On Line;Compra à vista;-1.055,99
23/07/2020;Mercpag*mercadolivre;Parcela 5/6;+23,31
19/11/2020;Hna*oboticario      ;Compra à vista;+22,00
22/09/2020;Magalu Com*magazinel;Parcela 3/10;+167,99
24/11/2020;Casas Bahia         ;Parcela 1/10;+86,29
25/11/2020;Amazonprimebr       ;Compra à vista;+9,90
30/07/2020;Azul Seguros*azul*au;Parcela 5/6;+172,69
30/11/2020;Pizzaria  Bom Sabor ;Compra à vista;+22,40
